RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_SNR,PRB_Utilization_DL,PRB_Utilization_UL
-103.6236559139785,0.0558586,7.0,0.1210299999999999,6.0,23.96,0.0,0.0472
-105.0,0.05314,7.0,0.113286,6.0,23.5,0.0,0.0
-105.0,0.0499009,7.0,0.101736,6.0,23.1,1.236,1.2453999999999998
-104.07,0.0491272,7.0,0.094766,6.0,22.44,0.5757,3.8584
-104.0,0.0461813,7.0,0.0867991999999999,6.0,21.705,0.2171,1.6228
-103.44,0.0424602999999999,7.0,0.0787921,6.0,19.535,1.1888,0.3491999999999999
-103.0,0.0383355999999999,7.0,0.0708328,6.0,18.925,2.1888,0.6701
-103.0,0.0362399999999999,7.0,0.0670094,6.0,18.455,0.0,0.0472
-103.0,0.0362399999999999,7.0,0.0602519999999999,6.0,18.11,0.0,0.0472
-103.0,0.0331268,7.0,0.054115,6.17,19.39,1.9907,9.8209
-103.0,0.0300772,7.0,0.0486572,7.18,19.42,3.0945,9.6792
-103.0,0.0269785999999999,7.0,0.0436979999999999,8.2,21.025,0.9435,10.5188
-103.0,0.0246511999999999,7.0,0.04013,9.0,20.34,0.1226999999999999,0.1321
-100.80645161290325,0.0231611999999999,7.0,0.0380447999999999,9.52,19.94,0.0472,0.0
-100.0,0.0213999999999999,7.0,0.0341705999999999,9.46,21.8,0.0,0.0472
-100.0,0.0213999999999999,7.0,0.0313724999999999,9.0,20.02,0.0,0.0
-100.0,0.0213999999999999,7.0,0.0281759,9.0,16.42,0.0,0.0472
-100.0,0.0213999999999999,7.0,0.0253305999999999,9.0,21.01,0.0,0.0472
-100.0,0.0213999999999999,7.0,0.0227756999999999,9.0,21.825,0.0,0.0
-100.0,0.0213999999999999,7.0,0.0204566999999999,9.0,19.465,0.0,0.0472
-100.0,0.0213999999999999,7.0,0.0183743999999999,9.0,18.85,0.0,0.0472
-100.0,0.0213999999999999,7.0,0.0165188,9.0,23.3,0.0,0.0
-100.0,0.0213999999999999,7.0,0.0148479999999999,9.0,23.0,0.0,0.0
-100.0,0.020544,7.0,0.013332,9.0,20.27,0.0472,0.0472
-100.0,0.0188933,7.0,0.0119852,9.0,19.24,0.0,0.0944
-100.0,0.01733,7.0,0.0110023,9.0,23.0,0.0,0.0
-100.0,0.0147732,7.0,0.0088856,10.32,21.845,10.3021,11.5187
-100.0,0.01334,7.0,0.0079812,11.34,22.075,1.7644,0.7737999999999999
-100.0,0.01264,7.0,0.0072524999999999,11.75,22.29,0.0,0.0
-100.0,0.01264,7.0,0.0065158,10.74,21.5,0.0,0.0
-100.0,0.01264,7.0,0.0058519999999999,9.72,21.5,0.0,0.0
-100.0,0.01264,7.0,0.0052634,9.0,21.375,0.0,0.0
-100.0,0.0119669,7.0,0.0047281,9.0,20.865,0.0,0.0472
-100.0,0.0112683,7.0,0.0042492,9.0,20.5,0.0472,0.0
-100.0,0.01024,7.0,0.0038954,9.0,20.55,0.0,0.0472
-100.0,0.009828,7.0,0.0035023999999999,9.16,20.945,2.1227,3.9435
-100.0,0.0088052,7.0,0.0031456,10.17,20.38,0.6981999999999999,2.8209
-100.0,0.0081572,7.0,0.0028538999999999,11.09,20.81,0.1888,0.8774
-101.0,0.0073045999999999,7.0,0.0025613999999999,12.11,21.84,1.2832,2.4623000000000004
-101.0,0.00672,7.0,0.0023299999999999,13.0,21.395,0.0472,1.3397
-101.0,0.0061828,7.0,0.0021620999999999,13.73,21.76,10.1322,1.7453999999999998
-101.0,0.005524,7.0,0.005837,14.74,19.255,8.6888,2.1983
-101.0,0.0050026,7.0,0.0191124999999999,15.75,19.335,19.302,3.9624
-101.0,0.0063186,7.0,0.0334795999999999,16.77,19.905,40.4905,3.7264
-101.0,0.0060756,7.0,0.0566727999999999,17.0,21.11,52.7641,1.6133000000000002
-101.0,0.0054179999999999,7.0,0.06516,17.0,21.275,61.5094,1.2171
-101.0,0.0048678,7.0,0.0661486,17.0,21.06,59.7641,2.5661
-101.18,0.004374,7.0,0.0652908,17.0,19.525,59.7641,1.0755
-102.0,0.0039276,7.0,0.0753816,17.0,18.245,60.7641,3.1605000000000003
-102.0,0.0035278,7.0,0.107192,17.0,20.77,59.7641,2.0661
-102.88172043010752,0.0031735,7.0,0.1077968,17.0,22.36,62.2547,3.3208
-103.0,0.0028444,7.0,0.107452,17.0,21.905,59.7641,1.6699000000000002
-103.0,0.0025621999999999,7.0,0.0979325,17.0,21.56,60.5094,1.8775
-103.0,0.0022985,7.0,0.1099251999999999,17.0,20.95,58.7641,3.2077
-103.0,0.0020673999999999,7.0,0.1151859999999999,17.0,25.255,61.7641,2.9435
-103.0,0.0018566999999999,7.0,0.1397343999999999,17.0,18.84,62.2547,4.3395
-103.0,0.0016656,7.0,0.1585769999999999,16.15,19.015,58.7641,2.5755
-103.0,0.0015024,7.0,0.1742717999999999,15.13,19.95,59.7641,1.5756
