RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_SNR,PRB_Utilization_DL,PRB_Utilization_UL
-99.0,0.0244547999999999,7.0,0.0477717,6.31,17.83,23.1604,0.0472
-98.2258064516129,0.0221472,7.0,0.0427272,7.37,19.8,32.377399999999994,0.5473
-98.0,0.0198689999999999,7.0,0.0384138,8.38,17.44,29.0283,4.5471
-98.0,0.017753,7.0,0.0348599999999999,9.3,21.27,60.5094,8.6226
-98.0,0.0159952999999999,7.0,0.0313387,10.31,22.035,37.1604,4.9245
-98.0,0.0143349999999999,7.0,0.0284407,11.23,20.125,60.7641,0.9435
-98.0,0.0128755,7.0,0.0255711999999999,12.24,19.585,34.3019,1.6226999999999998
-98.0,0.0115744,7.0,0.0229664,13.26,20.805,55.5094,0.3681
-98.0,0.0104058999999999,7.0,0.0207535999999999,14.22,21.885,52.5566,0.5661999999999999
-98.0,0.0093451,7.0,0.0276085999999999,15.29,19.51,24.207600000000003,2.3304
-98.0,0.008464,7.0,0.0507379999999999,16.0,22.71,30.3019,0.132
-98.0,0.0075479999999999,7.0,0.0565304999999999,16.0,21.24,24.3491,0.283
-98.0,0.00718,7.0,0.06225,16.0,20.63,1.0472,0.1888
-98.21505376344086,0.00718,7.0,0.07089,16.0,21.265,0.0,0.0472
-100.0,0.00718,7.0,0.0739435,15.45,21.265,0.0,0.0
-100.0,0.00718,7.0,0.0664072,14.43,17.58,0.0,0.0472
-100.0,0.00718,7.0,0.0597027999999999,13.42,17.82,0.0,0.0472
-100.0,0.00718,7.0,0.0536769999999999,12.41,22.05,0.0,0.0
-100.0,0.0065752,7.0,0.0482046,11.39,22.215,0.0472,0.0472
-100.0,0.0060765,7.0,0.0432893999999999,10.37,19.345,0.0472,0.0
-100.0,0.0058099999999999,7.0,0.038924,9.36,20.5,0.0,0.0
-100.0,0.0058099999999999,7.0,0.0349924999999999,9.0,22.195,0.0,0.0
-100.0,0.0058099999999999,7.0,0.0314221,9.0,22.0,0.0,0.0472
-100.0,0.0055547999999999,7.0,0.0282496,9.0,21.54,0.2547999999999999,0.6321999999999999
-100.0,0.0050427999999999,7.0,0.025369,9.7,22.09,0.1604,1.3114
-100.0,0.0045267,7.0,0.0228105,10.71,20.855,0.0944,7.5944
-100.51612903225806,0.0040593999999999,7.0,0.0209287,11.53,22.05,0.1416,0.585
-101.0,0.0038199999999999,7.0,0.0194124,12.24,22.4,0.0,0.0
-101.0,0.0034417,7.0,0.0174346,12.74,22.42,0.0,0.0472
-101.0,0.0032497999999999,7.0,0.01611,12.0,23.47,0.0472,0.0
-101.0,0.0030899999999999,7.0,0.0151762,11.42,17.6,0.0,0.0
-101.0,0.0030899999999999,7.0,0.0136445,10.41,19.6,0.0,0.0
-101.0,0.0030899999999999,7.0,0.0122509,9.39,23.6,0.0,0.0472
