RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets,label
-99.0,0.08116,7.0,0.0488329999999999,9.0,5.0,19.625,0.0,209.0,0.0,0.0,0.0,0.0,0.0,97,78.0,1
-98.23,0.08116,7.0,0.0438563,9.0,16.52,20.22,0.0,193.0,0.0,0.0,0.26,0.0,0.2452999999999999,104,22.0,1
-98.0,0.08116,7.0,0.1223809999999999,9.0,8.52,20.89,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,132,28.0,1
-98.0,0.0810789,7.0,0.1270076,9.0,5.0,19.81,177.0,255.0,0.0,0.0,0.05,0.0,0.0472,99,3.0,1
-98.0,0.07305,7.0,0.1239164,9.0,5.0,20.015,0.0,209.0,0.0,0.0,0.0,0.0,0.0,99,6.0,1
-97.10752688172045,0.07305,7.0,0.1112992999999999,9.0,5.0,20.5,0.0,0.0,0.0,0.0,0.05,0.0,0.0472,121,1.0,1
-97.0,0.07305,7.0,0.110069,8.9,20.04,20.97,0.0,386.0,0.0,0.0,0.0,0.0,0.0,130,12.0,1
-97.0,0.0683716,7.0,0.1906784,7.88,5.85,20.55,531.0,373.0,11.9,0.1,0.1,0.0944,0.0944,78,0.0,1
-97.0,0.0615351999999999,7.0,0.1859009999999999,6.86,43.09,20.595,42549.0,36192.0,2123.93,9.69,26.54,9.1421,25.0381,68,0.0,1
-97.0,0.0554996,7.0,0.1671445,6.0,36.24,21.165,9046.0,13226.0,684.93,1.14,4.79,1.0758,4.519,92,0.0,1
-97.0,0.0496856,7.0,0.1501240999999999,6.0,20.23,20.575,15976.0,5707.0,276.93,2.75,2.52,2.5946,2.3774,73,0.0,1
-97.0,0.0449059999999999,7.0,0.1348374999999999,6.0,13.45,20.0,708.0,1586.0,66.68,0.1,0.55,0.0944,0.5191,93,0.0,1
-97.0,0.040544,7.0,0.121226,6.0,9.32,19.615,6647.0,2045.0,95.2,2.56,0.78,2.4152,0.736,82,2.0,1
-97.0,0.0366083999999999,7.0,0.1088813999999999,6.0,8.2,20.855,708.0,766.0,25.22,0.15,0.2,0.1416,0.1888,88,2.0,1
-97.0,0.0327,7.0,0.0977951999999999,6.0,7.14,21.4,13418.0,2656.0,118.01,1.11,1.51,1.0472,1.4247,78,11.0,1
-97.0,0.03144,7.0,0.087925,6.0,5.0,20.185,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,86,3.0,1
-97.0,0.03144,7.0,0.0789675999999999,6.0,5.0,19.55,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,61,0.0,1
-97.25806451612904,0.028928,7.0,0.070996,6.0,5.0,19.58,177.0,133.0,0.0,0.0,0.0,0.0,0.0,83,18.0,1
-98.0,0.0260359999999999,7.0,0.06574,6.0,5.0,20.3,177.0,32.0,0.0,0.05,0.0,0.0472,0.0,74,38.0,1
-98.0,0.0254699999999999,7.0,0.0598269999999999,6.0,5.0,21.14,0.0,149.0,0.0,0.0,0.0,0.0,0.0,54,93.0,1
-97.91,0.0241185,7.0,0.0537236,6.0,6.53,19.545,1187.0,1442.0,61.06,0.05,1.35,0.0472,1.2737,85,174.0,1
-97.0,0.022004,7.0,0.0482398,6.94,14.2,21.035,885.0,5666.0,289.92,0.1,1.97,0.0944,1.8587,92,364.0,1
-97.0,0.0198678,7.0,0.0433694999999999,7.95,9.8,22.175,7501.0,1484.0,58.43,0.16,1.11,0.151,1.0474,68,617.0,1
-97.0,0.018012,7.0,0.0389493,8.97,8.39,21.565,531.0,2246.0,91.52,0.05,0.22,0.0472,0.2075999999999999,96,318.0,1
-97.0,0.01671,7.0,0.038432,9.1,5.0,22.05,0.0,255.0,0.0,0.0,0.05,0.0,0.0472,75,274.0,1
-97.0,0.0156579,7.0,0.0348699999999999,10.02,10.55,22.52,25257.0,1411.0,60.75,3.23,0.88,3.0472,0.8301999999999999,79,316.0,1
-97.0,0.014065,7.0,0.0313458,11.03,13.74,22.38,54581.0,4096.0,181.58,10.14,0.39,9.566,0.368,78,303.0,1
-97.0,0.0126424,7.0,0.0281584999999999,12.05,26.58,20.295,136680.0,10379.0,595.62,25.19,3.65,23.7643,3.4435,92,300.0,1
-97.0,0.0124179999999999,7.0,0.0254699999999999,13.0,19.44,20.645,289907.0,10201.0,401.68,41.22,1.95,38.8869,1.8396,105,300.0,1
-97.0,0.0116479999999999,7.0,0.0229965,13.97,21.52,21.84,432870.0,12028.0,610.03,65.2,3.48,61.5094,3.2832,92,309.0,1
-97.0,0.0104748,7.0,0.0249387999999999,14.98,25.53,22.2,440168.0,10328.0,428.33,65.2,3.63,61.5094,3.4246000000000003,91,295.0,1
-97.0,0.0094053999999999,7.0,0.0226703999999999,16.02,20.9,21.14,441465.0,7193.0,346.27,64.41,1.31,60.7641,1.2358,89,315.0,1
-97.0,0.0084475,7.0,0.0322373,17.03,24.89,19.59,436519.0,7990.0,411.0,63.08,1.58,59.5094,1.4906,85,307.0,1
-97.0,0.0075968,7.0,0.0422104999999999,18.0,35.85,18.85,440168.0,9370.0,701.43,64.93,3.15,61.2547,2.9719,86,303.0,1
-96.29,0.0068228,7.0,0.0888187,18.0,24.71,18.39,432870.0,9044.0,492.46,62.29,1.78,58.7641,1.6791999999999998,90,309.0,1
-96.0,0.006124,7.0,0.1290247,17.97,29.58,19.18,438744.0,7010.0,589.0,66.26,1.37,62.5094,1.2925,72,301.0,1
-96.0,0.005504,7.0,0.184649,16.9,20.33,18.93,440168.0,6334.0,306.12,65.2,1.68,61.5094,1.5849000000000002,84,307.0,1
-96.0,0.0049418,7.0,0.1919215999999999,15.88,18.51,18.25,432870.0,5680.0,269.36,62.29,0.96,58.7641,0.9057,77,301.0,1
-96.0,0.0044419999999999,7.0,0.1903579999999999,14.87,19.89,19.115,437816.0,5642.0,289.31,63.62,1.66,60.0188,1.5660000000000005,84,302.0,1
-96.0,0.0039916,7.0,0.1870925,13.85,25.87,18.95,443817.0,7065.0,313.74,64.93,2.59,61.2547,2.4434,71,303.0,1
-96.0,0.0035868,7.0,0.1725064999999999,12.83,14.84,18.79,432870.0,8041.0,364.27,63.08,0.71,59.5094,0.6698000000000001,70,311.0,1
-96.0,0.003216,7.0,0.1550959999999999,12.0,20.5,18.18,436519.0,5594.0,292.27,61.5,0.93,58.0188,0.8775999999999999,85,281.0,1
-96.0,0.0028979,7.0,0.1392979999999999,12.0,29.06,18.55,445114.0,7302.0,325.9,67.05,3.73,63.2547,3.5188,112,303.0,1
-96.0,0.0026003,7.0,0.1252441,12.0,22.57,18.34,432870.0,5979.0,287.33,63.08,1.62,59.5094,1.5283000000000002,100,309.0,1
-96.0,0.0023355999999999,7.0,0.1124903999999999,12.0,20.07,19.195,432870.0,5484.0,262.52,63.35,1.25,59.7641,1.1793,96,312.0,1
