RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-101.62,0.0682274,7.0,0.2551665000000001,0.0,76.31,18.555,35905.0,13480.0,4045.13,5.01,73.12,4.7266,68.98110000000001,6,48.0
-101.0,0.0617799999999999,7.0,0.2291625,0.0,55.0,18.87,23330.0,9243.0,1826.94,5.57,40.87,5.2551,38.5566,10,46.0
-101.0,0.0557743999999999,7.0,0.2060307999999999,0.0,29.38,18.485,6884.0,2505.0,153.54,1.46,9.55,1.3776,9.0095,4,15.0
-100.74193548387096,0.050346,7.0,0.185033,0.0,44.31,19.27,16241.0,5750.0,851.5,3.06,24.83,2.8869,23.4247,0,17.0
-100.0,0.0449479999999999,7.0,0.1663546999999999,0.0,53.31,18.665,37198.0,7293.0,1690.92,5.72,39.71,5.3965,37.4622,0,16.0
-100.0,0.0406166,7.0,0.1493988,0.0,90.84,18.645,181734.0,16596.0,2545.21,28.72,81.56,27.0944,76.94369999999999,4,157.0
-100.0,0.0362974999999999,7.0,0.1343178,0.0,78.95,18.65,20786.0,10027.0,3350.48,6.37,49.57,6.0097000000000005,46.7642,24,22.0
-100.0,0.032562,7.0,0.1205015,0.0,78.52,19.615,49329.0,13281.0,2961.35,9.8,68.18,9.2453,64.3207,13,61.0
-100.0,0.0296383,7.0,0.108218,0.0,25.3,22.44,23712.0,3115.0,253.06,3.37,12.78,3.1793,12.056500000000002,0,28.0
-100.0,0.0271128,7.0,0.1003183999999999,0.0,18.51,22.145,708.0,1643.0,552.0,0.1,10.6,0.0944,10.0001,4,1.0
-100.0,0.0243468,7.0,0.09019,0.0,72.52,19.83,24987.0,13456.0,4192.14,4.89,69.21,4.6132,65.2925,10,19.0
-100.0,0.02198,7.0,0.081846,0.0,51.88,19.11,41481.0,6783.0,2407.83,6.4,34.05,6.0378,32.1227,3,57.0
-100.0,0.0198239999999999,7.0,0.0735125999999999,0.0,23.4,19.665,4517.0,882.0,66.25,0.49,1.84,0.4623,1.736,0,4.0
-100.0,0.0179188,7.0,0.0667774999999999,0.0,13.25,22.075,1795.0,2096.0,424.66,0.32,11.22,0.302,10.5848,4,3.0
-100.0,0.0160912,7.0,0.0599768,0.0,80.8,22.685,30141.0,13873.0,3166.87,6.49,72.33,6.1229,68.236,5,19.0
-100.0,0.01442,7.0,0.0539259999999999,0.28,90.44,17.78,26932.0,17089.0,4562.66,5.84,79.3,5.5097000000000005,74.8115,9,54.0
-100.0,0.01298,7.0,0.048433,1.3,72.45,17.68,16905.0,19232.0,8341.47,3.9,63.59,3.6796,59.9907,13,46.0
-100.9186046511628,0.0117189999999999,7.0,0.043545,2.31,14.02,19.765,12105.0,1503.0,89.19,4.45,1.67,4.1982,1.5756,22,28.0
