RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-105.0,0.05905,7.0,0.0943483999999999,8.64,16.04,17.5,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,0,47.0
-105.0,0.05905,7.0,0.1487572,8.0,5.0,17.5,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,0,57.0
-105.0,0.0555631,7.0,0.13903,8.0,5.0,18.09,177.0,40.0,0.0,0.05,0.0,0.0472,0.0,2,38.0
-105.0,0.05314,7.0,0.1294321,8.0,5.0,18.5,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0,6.0
-105.0,0.05314,7.0,0.1162379,8.0,5.0,18.83,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,0,0.0
-104.22,0.0517594,7.0,0.1045028,8.0,5.0,19.34,177.0,193.0,0.0,0.05,0.0,0.0472,0.0,0,0.0
-103.78494623655914,0.04783,7.0,0.0939550999999999,8.0,6.01,19.94,177.0,1121.0,82.81,0.05,1.11,0.0472,1.0472,0,0.0
-103.0,0.0430499999999999,7.0,0.0843725,8.0,40.45,20.845,28351.0,35134.0,2317.08,5.13,15.85,4.8399,14.9529,0,2.0
-103.0,0.0388305999999999,7.0,0.0757682999999999,8.0,27.69,21.415,24165.0,25109.0,1216.34,4.24,11.76,4.0003,11.0946,0,23.0
-103.0,0.03487,7.0,0.0680498,8.0,16.08,20.74,17302.0,5968.0,302.06,2.45,2.15,2.3115,2.0285,0,5.0
-102.74,0.0314149,7.0,0.0611799999999999,8.0,13.0,22.1,5318.0,1782.0,71.55,0.28,1.2,0.2642,1.1322,0,0.0
-102.0,0.0308461999999999,7.0,0.0585322,8.0,5.0,22.435,177.0,233.0,0.0,0.0,0.05,0.0,0.0472,0,0.0
-102.0,0.0282399999999999,7.0,0.0526225999999999,8.0,5.0,21.905,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,0,0.0
-102.0,0.0282399999999999,7.0,0.047316,8.0,5.0,21.4,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0,0.0
-102.0,0.0273375999999999,7.0,0.0424964,8.26,8.21,20.31,1523.0,6189.0,343.22,0.1,2.37,0.0944,2.236,0,0.0
-102.0,0.0244039999999999,7.0,0.0381696,9.28,23.21,18.765,19558.0,14369.0,663.44,4.04,3.83,3.8114,3.6133,0,2.0
-102.0,0.0221014,7.0,0.0344904,10.24,7.35,17.73,1896.0,3212.0,127.12,0.25,0.61,0.236,0.5757,0,17.0
-102.0,0.0205899999999999,7.0,0.0318,11.0,5.05,18.605,177.0,267.0,4.19,0.0,0.15,0.0,0.1416,0,10.0
-102.0,0.0205899999999999,7.0,0.028938,11.9,5.0,18.57,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0.0
-103.87096774193547,0.0205899999999999,7.0,0.0259888,11.08,5.0,18.5,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,0,0.0
-105.0,0.0205899999999999,7.0,0.0233698999999999,10.07,5.0,19.39,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0,1.0
