RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-99.0,0.0244547999999999,7.0,0.0477717,6.31,7.31,17.83,158481.0,615.0,30.81,24.55,0.05,23.1604,0.0472,8,114.0
-98.2258064516129,0.0221472,7.0,0.0427272,7.37,12.34,19.8,230627.0,1427.0,53.67,34.32,0.58,32.377399999999994,0.5473,14,161.0
-98.0,0.0198689999999999,7.0,0.0384138,8.38,14.86,17.44,208990.0,10029.0,501.71,30.77,4.82,29.0283,4.5471,4,208.0
-98.0,0.017753,7.0,0.0348599999999999,9.3,18.76,21.27,436519.0,15509.0,873.79,64.14,9.14,60.5094,8.6226,0,9.0
-98.0,0.0159952999999999,7.0,0.0313387,10.31,24.43,22.035,259539.0,20029.0,971.72,39.39,5.22,37.1604,4.9245,0,287.0
-98.0,0.0143349999999999,7.0,0.0284407,11.23,16.95,20.125,437816.0,3418.0,154.44,64.41,1.0,60.7641,0.9435,0,49.0
-98.0,0.0128755,7.0,0.0255711999999999,12.24,14.17,19.585,249913.0,13886.0,664.89,36.36,1.72,34.3019,1.6226999999999998,0,84.0
-98.0,0.0115744,7.0,0.0229664,13.26,7.93,20.805,394108.0,2008.0,77.5,58.84,0.39,55.5094,0.3681,0,0.0
-98.0,0.0104058999999999,7.0,0.0207535999999999,14.22,9.9,21.885,370806.0,2069.0,85.75,55.71,0.6,52.5566,0.5661999999999999,0,0.0
-98.0,0.0093451,7.0,0.0276085999999999,15.29,18.13,19.51,162592.0,12246.0,990.65,25.66,2.47,24.207600000000003,2.3304,0,62.0
-98.0,0.008464,7.0,0.0507379999999999,16.0,5.12,22.71,199769.0,603.0,19.27,32.12,0.14,30.3019,0.132,0,68.0
-98.0,0.0075479999999999,7.0,0.0565304999999999,16.0,5.66,21.24,185345.0,1243.0,29.58,25.81,0.3,24.3491,0.283,0,214.0
-98.0,0.00718,7.0,0.06225,16.0,5.75,20.63,7588.0,827.0,26.99,1.11,0.2,1.0472,0.1888,0,129.0
-98.21505376344086,0.00718,7.0,0.07089,16.0,5.0,21.265,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,0,363.0
-100.0,0.00718,7.0,0.0739435,15.45,5.0,21.265,0.0,209.0,0.0,0.0,0.0,0.0,0.0,5,233.0
-100.0,0.00718,7.0,0.0664072,14.43,5.0,17.58,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,10,322.0
