RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-108.0,0.0731836,7.0,0.1391292999999999,6.0,23.02,19.245,7807.0,7824.0,205.95,0.77,1.83,0.7265,1.7266,7,36.0
-108.0,0.0668093,7.0,0.1250912,6.0,21.11,18.735,11451.0,14458.0,1159.84,2.29,10.44,2.1604,9.8491,9,96.0
-108.0,0.0596095,7.0,0.11349,6.0,14.29,20.565,708.0,5328.0,119.93,0.05,0.64,0.0472,0.6039,8,17.0
-108.0,0.05902,7.0,0.10668,6.0,5.0,19.84,0.0,149.0,0.0,0.0,0.0,0.0,0.0,49,20.0
-108.08,0.0564787,7.0,0.0959118999999999,6.0,5.0,22.645,177.0,181.0,0.0,0.05,0.0,0.0472,0.0,117,2.0
-109.31182795698923,0.05311,7.0,0.0870539999999999,6.0,5.0,25.245,0.0,149.0,0.0,0.0,0.0,0.0,0.0,65,0.0
-110.0,0.05311,7.0,0.0781814999999999,6.0,5.0,17.75,0.0,133.0,0.0,0.0,0.05,0.0,0.0472,15,0.0
-110.0,0.05311,7.0,0.0702879999999999,6.0,5.0,16.5,0.0,149.0,0.0,0.0,0.0,0.0,0.0,10,0.0
-109.07,0.0493398999999999,7.0,0.063124,6.0,5.0,21.705,177.0,149.0,0.0,0.05,0.05,0.0472,0.0472,59,0.0
-109.0,0.0472742,7.0,0.0567523,6.0,5.0,24.08,177.0,181.0,0.0,0.05,0.0,0.0472,0.0,98,0.0
-109.0,0.04302,7.0,0.0531396999999999,6.0,5.0,26.235,0.0,149.0,0.0,0.0,0.0,0.0,0.0,157,0.0
-109.0,0.04302,7.0,0.0477275999999999,6.0,5.0,22.5,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,95,0.0
-108.8,0.04302,7.0,0.042914,6.0,5.0,20.8,0.0,133.0,0.0,0.0,0.0,0.0,0.0,28,0.0
-108.0,0.04302,7.0,0.0385404,6.0,5.0,14.84,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,39,0.0
-108.0,0.04302,7.0,0.0346488,6.0,5.0,18.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,48,0.0
-108.0,0.04302,7.0,0.0311219999999999,6.0,5.0,18.0,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,12,0.0
-108.0,0.04302,7.0,0.0279829999999999,6.0,5.0,16.7,0.0,133.0,0.0,0.0,0.0,0.0,0.0,16,0.0
-108.0,0.04302,7.0,0.0251312,6.0,5.0,15.94,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,10,0.0
-106.51612903225806,0.0393219999999999,7.0,0.0225978,6.0,5.0,23.355,177.0,149.0,0.0,0.05,0.0,0.0472,0.0,8,0.0
-105.1,0.0386812999999999,7.0,0.0202949999999999,6.0,5.0,23.6,177.0,181.0,0.0,0.0,0.1,0.0,0.0944,92,0.0
-105.0,0.0348150999999999,7.0,0.0189299999999999,6.0,7.43,21.655,2084.0,1490.0,69.01,0.85,1.11,0.8019,1.0472,72,0.0
-105.0,0.0313599999999999,7.0,0.017182,6.92,7.95,20.56,5125.0,3008.0,151.34,0.47,0.43,0.4434,0.4058,71,0.0
-105.0,0.0282613,7.0,0.015347,7.99,14.38,20.98,1065.0,6151.0,308.94,0.36,2.25,0.3397,2.1227,24,3.0
-105.0,0.0254087,7.0,0.0137724,9.02,12.13,21.585,11271.0,5959.0,275.44,1.11,1.54,1.0472,1.453,34,1.0
-105.0,0.0227915999999999,7.0,0.0123828,10.03,19.77,19.275,12745.0,11710.0,611.09,3.29,2.16,3.104,2.0378,50,5.0
