RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-99.0,0.0282399999999999,3.0,0.0334249999999999,9.0,5.0,21.79,0.0,209.0,0.0,0.0,0.0,0.0,0.0,6,17.0
-99.0,0.0282399999999999,3.0,0.0300175,9.0,5.0,16.46,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,10,52.0
-97.74193548387096,0.0282399999999999,3.0,0.0269845999999999,9.0,5.0,20.79,0.0,209.0,0.0,0.0,0.0,0.0,0.0,8,21.0
-96.0,0.0282399999999999,3.0,0.0242623,9.0,5.0,23.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,8,7.0
-96.0,0.0256456,3.0,0.0236626,9.0,5.0,23.46,80.0,46.0,0.0,0.05,0.05,0.0472,0.0472,10,0.0
-96.0,0.02542,3.0,0.0212758,9.0,5.0,21.54,0.0,209.0,0.0,0.0,0.0,0.0,0.0,69,0.0
-96.0,0.02542,3.0,0.0191039999999999,9.0,5.0,14.075,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,125,0.0
-95.59,0.02542,3.0,0.0171767999999999,9.0,5.0,23.45,0.0,418.0,0.0,0.0,0.0,0.0,0.0,131,0.0
-95.0,0.0229054,3.0,0.0155599999999999,9.0,5.0,21.14,160.0,46.0,0.0,0.0,0.05,0.0,0.0472,155,0.0
-95.0,0.0228799999999999,3.0,0.0152635999999999,9.0,5.0,21.925,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,86,0.0
-95.0,0.0211395999999999,3.0,0.0137059999999999,9.21,9.69,21.32,3248.0,5319.0,245.7,3.48,0.79,3.2832,0.7454,2,0.0
-95.0,0.0188595999999999,3.84,0.0123101999999999,10.23,15.19,21.405,15983.0,7234.0,350.65,4.09,2.07,3.8585,1.9531,72,0.0
-95.0,0.017013,4.82,0.0110688,11.24,12.17,21.125,6672.0,2496.0,97.36,1.24,0.53,1.1699,0.5001,92,0.0
-95.0,0.0153439999999999,5.8,0.0099448,12.26,10.82,21.6,2189.0,8192.0,384.94,0.56,2.02,0.5283,1.9058,109,0.0
