RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-101.0,0.05314,7.0,0.1423399,6.0,5.0,21.82,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,0,229.0
-101.0,0.0513346,7.0,0.1279679999999999,6.0,5.0,21.67,177.0,149.0,0.0,0.05,0.0,0.0472,0.0,0,298.0
-101.0,0.04783,7.0,0.1150502,6.0,5.0,21.74,177.0,181.0,0.0,0.05,0.0,0.0472,0.0,0,170.0
-101.0,0.0436235999999999,7.0,0.11146,6.0,5.0,21.11,177.0,32.0,0.0,0.0,0.05,0.0,0.0472,0,167.0
-101.0,0.0430499999999999,7.0,0.1009789999999999,6.0,5.0,19.65,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,0,316.0
-101.0,0.0425758999999999,7.0,0.0907815,6.0,12.5,18.865,9469.0,12261.0,1428.11,1.41,8.54,1.3301999999999998,8.0568,0,237.0
-101.0,0.0379273,7.0,0.0815209,6.0,38.08,20.295,262833.0,29183.0,1926.24,42.37,17.1,39.9718,16.1323,0,272.0
-101.0,0.0343222,7.0,0.0732924,6.0,40.06,19.95,326745.0,26702.0,1874.82,47.37,11.9,44.6887,11.226400000000002,0,315.0
-101.0,0.0316995999999999,7.0,0.0657541,6.0,63.02,20.455,176063.0,58964.0,4138.89,28.33,30.71,26.7267,28.9714,0,177.0
-101.0,0.0284124999999999,7.0,0.0590523999999999,6.0,77.84,20.445,257471.0,59623.0,2938.0,43.98,18.56,41.4905,17.5093,0,346.0
-101.09782608695652,0.0255226,7.0,0.0530968,6.04,79.68,20.985,371737.0,57000.0,2806.0,61.31,16.34,57.8397,15.4151,0,200.0
-102.0,0.0229492,7.0,0.047692,7.06,68.47,20.695,327629.0,62707.0,2949.03,49.4,17.86,46.6038,16.8492,0,213.0
-102.0,0.0209304999999999,7.0,0.0428775999999999,8.07,59.64,20.775,296628.0,59300.0,3000.27,44.05,14.92,41.5566,14.0754,0,0.0
-102.0,0.0187189,7.0,0.0385108,9.09,49.88,21.205,417684.0,56372.0,2806.0,65.0,14.04,61.3208,13.245,0,166.0
-102.0,0.0168832,7.0,0.03463,10.1,52.54,20.525,267102.0,60631.0,2922.63,38.58,14.62,36.3962,13.7926,0,225.0
-102.0,0.015118,7.0,0.031291,11.06,43.38,20.27,390188.0,52499.0,2474.8,56.72,10.46,53.5094,9.8684,0,362.0
-102.0,0.0135925,7.0,0.0281036,12.08,15.35,20.3,324557.0,13419.0,779.49,49.3,5.23,46.5094,4.9338,0,118.0
-102.0,0.01255,7.0,0.0251429999999999,13.14,25.24,23.13,200441.0,30108.0,1597.8,29.06,7.3,27.4151,6.886699999999999,0,408.0
